dico,indicator,name,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
608,dormidas,Mira,48888,44687,26758,23039,19280,25630,31889,36799,35158,35328,36758,32753
609,dormidas,Miranda do Corvo,13954,9478,2625,,,,,,,,,
610,dormidas,Montemor-o-Velho,19265,10170,6488,,,,,,,,,
611,dormidas,Oliveira do Hospital,18340,11537,8290,7877,20622,,,,,,,15526
612,dormidas,Pampilhosa da Serra,9192,9727,9316,,,,,,,,,
613,dormidas,Penacova,287,1047,311,,,,,,,,,
614,dormidas,Penela,18480,17968,,,,,,,,,,
615,dormidas,Soure,,,,,,,,,,,,
616,dormidas,Tábua,962,,,,3899,,,,,,,
617,dormidas,Vila Nova de Poiares,,2331,,,,,,,,,,
701,dormidas,Alandroal,820,1054,753,,3342,,,,,,,
702,dormidas,Arraiolos,17534,14416,11562,,8194,,,,,,,
703,dormidas,Borba,1373,1631,1516,2306,4272,,,,,,,
704,dormidas,Estremoz,37937,35436,31126,39643,35400,24863,37449,41698,35170,39766,42956,30470
705,dormidas,Évora,572279,506179,447826,366171,330149,309544,312696,303236,291207,269064,273857,253517
706,dormidas,Montemor-o-Novo,18738,17629,17142,15910,18580,,,,,,,13380
707,dormidas,Mora,2587,2140,2817,,3071,,,,784,,,
708,dormidas,Mourão,,,,,2022,,,,,,,
709,dormidas,Portel,807,1981,2430,108,,,,,,,,
710,dormidas,Redondo,1551,536,817,,8449,4268,4021,,,,,
711,dormidas,Reguengos de Monsaraz,34551,19526,16329,16595,33796,15934,12290,6662,,11499,11728,
712,dormidas,Vendas Novas,7543,7736,7476,,,,,,3976,,,
713,dormidas,Viana do Alentejo,,,,,1410,,,,,,,
714,dormidas,Vila Viçosa,36965,35094,34528,29737,,,21251,24043,18243,21123,26901,
801,dormidas,Albufeira,8390004,8119286,7301167,7177003,6457468,6412895,6522089,6021936,5847229,6274393,6406324,6115125
802,dormidas,Alcoutim,221,,,,,,,,,,,
803,dormidas,Aljezur,39953,22076,15657,11951,29707,,6173,7027,6863,6088,5317,
804,dormidas,Castro Marim,173980,158495,148527,136714,105858,97716,85042,74406,,,85550,80897
805,dormidas,Faro,513446,427778,349409,294460,290446,267020,276842,282742,243349,222308,207882,204344
806,dormidas,Lagoa,1639493,1589126,1429781,1327866,1189049,1031493,917229,887870,879709,1055807,1035986,1050572
807,dormidas,Lagos,1213899,1102236,984331,855555,809996,768822,644370,616645,579921,682536,750079,589098
808,dormidas,Loulé,2668087,2517308,2294763,2264433,2131087,1932791,1793628,1693299,1686145,2007683,2012364,1946017
809,dormidas,Monchique,88588,42443,25915,20348,29759,34169,50924,21090,12148,17984,20388,21575
810,dormidas,Olhão,143322,123239,108903,142497,96585,89825,81034,14920,11920,5715,,12244
811,dormidas,Portimão,2506763,2291914,2139045,2015032,1887782,1791267,1643559,1708149,1677346,1847555,2094840,2102236
