concelho_name,concelho,distrito_name,distrito,nut1_name,nut1,nut2_name,nut2,nut3_name,nut3
Porto Santo,3201,Ilha de Porto Santo,32,Região Autónoma da Madeira,PT3,Região Autónoma da Madeira,PT30,Região Autónoma da Madeira,PT300
Vila do Porto,4101,Ilha de Santa Maria,41,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Lagoa,4201,Ilha de São Miguel,42,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Nordeste,4202,Ilha de São Miguel,42,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Ponta Delgada,4203,Ilha de São Miguel,42,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Povoação,4204,Ilha de São Miguel,42,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Ribeira Grande,4205,Ilha de São Miguel,42,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Vila Franca do Campo,4206,Ilha de São Miguel,42,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Angra do Heroísmo,4301,Ilha Terceira,43,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Praia da Vitória,4302,Ilha Terceira,43,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Santa Cruz da Graciosa,4401,Ilha da Graciosa,44,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Calheta de São Jorge,4501,Ilha de São Jorge,45,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Velas,4502,Ilha de São Jorge,45,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Lajes do Pico,4601,Ilha do Pico,46,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Madalena,4602,Ilha do Pico,46,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
São Roque do Pico,4603,Ilha do Pico,46,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Horta,4701,Ilha do Faial,47,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Lajes das Flores,4801,Ilha das Flores,48,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Santa Cruz das Flores,4802,Ilha das Flores,48,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
Corvo,4901,Ilha Corvo,49,Região Autónoma dos Açores,PT2,Região Autónoma dos Açores,PT20,Região Autónoma dos Açores,PT200
