dico,name,indicator,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
4301,Angra do Heroísmo,pop-residente,35707,35718,35648,35572,35406,35311,35189,35029,34771,34586
4302,Vila da Praia da Vitória,pop-residente,20802,20915,20997,21020,21045,21268,21451,21612,21596,21555
4401,Santa Cruz da Graciosa,pop-residente,4562,4534,4497,4459,4403,4409,4410,4400,4363,4339
4501,Calheta (R.A.A.),pop-residente,3926,3893,3867,3834,3783,3669,3569,3440,3378,3312
4502,Velas,pop-residente,5524,5512,5483,5459,5413,5379,5357,5337,5292,5244
4601,Lajes do Pico,pop-residente,4854,4817,4769,4746,4722,4707,4708,4694,4654,4622
4602,Madalena,pop-residente,6107,6103,6076,6069,6051,6027,6055,6046,6000,5958
4603,São Roque do Pico,pop-residente,3487,3461,3447,3417,3390,3395,3380,3361,3316,3303
4701,Horta,pop-residente,15066,15062,15056,15016,14996,15017,15013,14994,14910,14824
4801,Lajes das Flores,pop-residente,1510,1518,1516,1512,1515,1520,1528,1526,1515,1503
4802,Santa Cruz das Flores,pop-residente,2383,2368,2339,2322,2296,2279,2258,2237,2215,2196
4901,Corvo,pop-residente,415,416,416,418,416,431,448,463,459,459
