dico,name,indicator,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
511,Vila Velha de Ródão,pop-residente,3778,3705,3643,3586,3538,3495,3432,3382,3326,3282
601,Arganil,pop-residente,12829,12645,12498,12340,12183,12027,11851,11669,11522,11432
602,Cantanhede,pop-residente,37301,37179,37020,36898,36657,36571,36389,36234,35967,35878
603,Coimbra,pop-residente,146060,145544,144932,144301,143589,141360,139151,136964,135592,134578
604,Condeixa-a-Nova,pop-residente,16373,16588,16767,16948,17109,17234,17320,17371,17342,17409
605,Figueira da Foz,pop-residente,62779,62622,62520,62395,62263,61918,61505,61076,60621,60415
606,Góis,pop-residente,4525,4478,4412,4354,4272,4187,4120,4079,4016,3985
607,Lousã,pop-residente,16927,17150,17306,17468,17619,17549,17439,17331,17236,17231
608,Mira,pop-residente,12679,12628,12601,12552,12497,12410,12324,12260,12162,12110
609,Miranda do Corvo,pop-residente,13163,13163,13161,13165,13131,13094,13048,12984,12905,12861
610,Montemor-o-Velho,pop-residente,25903,25941,26038,26121,26207,26138,26048,25911,25736,25678
611,Oliveira do Hospital,pop-residente,21469,21361,21238,21085,20900,20722,20519,20294,20092,19984
612,Pampilhosa da Serra,pop-residente,4832,4756,4668,4589,4507,4430,4314,4257,4197,4143
613,Penacova,pop-residente,15925,15785,15628,15463,15286,15091,14887,14678,14506,14399
614,Penela,pop-residente,6229,6168,6105,6050,5995,5910,5821,5734,5657,5612
615,Soure,pop-residente,20047,19865,19665,19511,19298,19033,18740,18499,18231,18027
616,Tábua,pop-residente,12360,12288,12259,12190,12113,12012,11931,11855,11757,11726
617,Vila Nova de Poiares,pop-residente,7216,7216,7251,7270,7289,7266,7207,7141,7083,7055
701,Alandroal,pop-residente,6188,6122,6028,5949,5869,5787,5687,5580,5450,5357
702,Arraiolos,pop-residente,7532,7490,7457,7403,7372,7373,7341,7302,7203,7107
703,Borba,pop-residente,7550,7523,7455,7413,7348,7317,7245,7230,7121,7034
704,Estremoz,pop-residente,14960,14830,14674,14503,14326,14186,13944,13740,13502,13306
705,Évora,pop-residente,56977,56961,56854,56779,56653,56218,55624,55053,54271,53654
706,Montemor-o-Novo,pop-residente,18063,17949,17792,17641,17478,17275,17073,16850,16563,16323
707,Mora,pop-residente,5330,5270,5192,5099,4995,4893,4790,4683,4584,4484
708,Mourão,pop-residente,2900,2844,2784,2726,2665,2644,2622,2601,2577,2529
709,Portel,pop-residente,6773,6698,6629,6536,6439,6381,6326,6307,6200,6104
710,Redondo,pop-residente,7163,7137,7112,7089,7055,6994,6922,6842,6737,6649
711,Reguengos de Monsaraz,pop-residente,11105,11028,10956,10913,10846,10784,10721,10625,10480,10363
712,Vendas Novas,pop-residente,11857,11864,11868,11874,11853,11857,11827,11804,11669,11534
713,Viana do Alentejo,pop-residente,5737,5761,5762,5761,5758,5706,5623,5515,5414,5315
714,Vila Viçosa,pop-residente,8588,8548,8475,8411,8338,8273,8235,8190,8090,7987
801,Albufeira,pop-residente,37052,37978,38895,39859,40796,40351,40190,40047,40107,40357
802,Alcoutim,pop-residente,3271,3175,3085,3005,2930,2816,2725,2629,2544,2482
803,Aljezur,pop-residente,5673,5711,5760,5835,5895,5787,5724,5673,5629,5615
804,Castro Marim,pop-residente,6697,6722,6725,6742,6755,6634,6588,6543,6493,6450
805,Faro,pop-residente,62170,62807,63409,64032,64600,63172,62281,61334,61214,61019
806,Lagoa,pop-residente,22125,22344,22551,22770,22985,22798,22783,22750,22723,22787
807,Lagos,pop-residente,28761,29334,29893,30474,31060,30805,30776,30720,30714,30778
808,Loulé,pop-residente,65912,67166,68354,69538,70659,69988,69824,69607,69230,69453
809,Monchique,pop-residente,6437,6350,6255,6170,6077,5886,5755,5632,5552,5476
810,Olhão,pop-residente,43500,43940,44441,44922,45401,45157,45216,45201,45175,45253
811,Portimão,pop-residente,51314,52441,53513,54602,55654,55265,55209,55152,55229,55439
812,São Brás de Alportel,pop-residente,10375,10449,10533,10604,10671,10558,10552,10538,10531,10575
813,Silves,pop-residente,35829,36131,36460,36824,37161,36780,36724,36636,36562,36547
814,Tavira,pop-residente,25706,25891,25990,26120,26215,25860,25753,25624,25511,25415
815,Vila do Bispo,pop-residente,5314,5310,5269,5268,5269,5238,5223,5216,5202,5206
816,Vila Real de Santo António,pop-residente,18662,18807,18955,19059,19176,19045,19067,19056,19052,19077
901,Aguiar da Beira,pop-residente,5867,5778,5674,5581,5497,5410,5308,5224,5121,5040
902,Almeida,pop-residente,7787,7666,7536,7430,7279,7066,6835,6628,6465,6323
903,Celorico da Beira,pop-residente,8207,8104,7981,7868,7724,7608,7512,7403,7321,7246
904,Figueira de Castelo Rodrigo,pop-residente,6663,6572,6471,6383,6282,6224,6162,6073,5993,5918
905,Fornos de Algodres,pop-residente,5294,5237,5153,5086,4993,4965,4920,4888,4821,4796
906,Gouveia,pop-residente,14988,14787,14560,14328,14096,13892,13655,13450,13269,13114
907,Guarda,pop-residente,43372,43213,43060,42880,42615,42126,41549,40994,40574,40237
908,Manteigas,pop-residente,3734,3675,3602,3523,3445,3400,3347,3297,3239,3199
909,Mêda,pop-residente,5651,5530,5427,5329,5220,5118,5026,4941,4868,4802
910,Pinhel,pop-residente,10264,10112,9959,9805,9647,9503,9334,9205,9086,8983
911,Sabugal,pop-residente,13578,13338,13081,12835,12591,12351,12146,11914,11687,11489
912,Seia,pop-residente,26214,25856,25467,25102,24758,24466,24121,23795,23508,23329
913,Trancoso,pop-residente,10325,10220,10130,10049,9922,9815,9666,9537,9410,9345
914,Vila Nova de Foz Côa,pop-residente,7832,7724,7577,7461,7322,7218,7102,6984,6903,6792
1001,Alcobaça,pop-residente,56608,56720,56803,56863,56815,56472,56037,55651,55237,55063
1002,Alvaiázere,pop-residente,7790,7660,7536,7421,7322,7222,7155,7048,6950,6895
1003,Ansião,pop-residente,13477,13429,13338,13273,13166,13035,12897,12773,12643,12574
1004,Batalha,pop-residente,15521,15633,15704,15761,15830,15825,15820,15804,15789,15842
1005,Bombarral,pop-residente,13389,13361,13295,13286,13209,13102,13011,12869,12737,12668
1006,Caldas da Rainha,pop-residente,50964,51232,51448,51622,51798,51791,51793,51727,51507,51542
1007,Castanheira de Pêra,pop-residente,3422,3374,3315,3262,3206,3122,3026,2939,2865,2801
1008,Figueiró dos Vinhos,pop-residente,6660,6557,6434,6314,6193,6102,6031,5941,5857,5811
1009,Leiria,pop-residente,124831,125507,126002,126519,126925,126753,126348,125977,125561,125721
1010,Marinha Grande,pop-residente,37650,37938,38183,38461,38726,38741,38709,38700,38533,38613
1011,Nazaré,pop-residente,15131,15132,15154,15181,15184,14988,14813,14610,14487,14422
1012,Óbidos,pop-residente,11440,11515,11610,11680,11788,11768,11757,11694,11622,11612
1013,Pedrógão Grande,pop-residente,4126,4079,4037,3997,3932,3850,3761,3686,3608,3562
1014,Peniche,pop-residente,27727,27797,27796,27817,27811,27581,27404,27205,27028,26994
1015,Pombal,pop-residente,56055,55946,55774,55599,55339,55018,54624,54201,53788,53604
1016,Porto de Mós,pop-residente,24417,24408,24402,24391,24374,24273,24154,24010,23844,23792
1101,Alenquer,pop-residente,41723,42150,42546,42942,43303,43285,43194,43086,43004,43136
1102,Arruda dos Vinhos,pop-residente,12184,12499,12789,13096,13395,13702,13936,14170,14258,14475
1103,Azambuja,pop-residente,21518,21607,21691,21785,21850,22078,22306,22477,22339,22184
1104,Cadaval,pop-residente,14132,14177,14205,14244,14269,14196,14105,14009,13876,13834
1105,Cascais,pop-residente,192261,195838,199432,203084,206449,207924,208321,208514,209376,210361
1106,Lisboa,pop-residente,553646,552118,550934,549998,548422,537412,524282,511667,509312,504471
1107,Loures,pop-residente,202986,203513,204008,204493,204987,207063,208042,208858,204695,205870
1108,Lourinhã,pop-residente,24866,25101,25378,25586,25768,25752,25705,25657,25571,25629
1109,Mafra,pop-residente,67391,69729,72041,74326,76671,78233,79297,80247,81199,81961
1110,Oeiras,pop-residente,168373,169394,170372,171380,172191,172764,172822,172556,172959,173339
1111,Sintra,pop-residente,373280,374526,375832,376921,377680,379786,379963,379756,380934,382521
1112,Sobral de Monte Agraço,pop-residente,9729,9831,9949,10053,10173,10169,10193,10211,10183,10230
1113,Torres Vedras,pop-residente,76901,77666,78292,79010,79552,79505,79426,79201,78932,78989
1114,Vila Franca de Xira,pop-residente,131420,132843,134277,135572,136875,138142,138710,139110,139918,140614
1115,Amadora,pop-residente,175649,175464,175373,175274,175141,175738,175631,175354,175952,176644
1116,Odivelas,pop-residente,139937,141055,142162,143257,144444,146970,148791,150419,152840,154462
1201,Alter do Chão,pop-residente,3739,3714,3680,3626,3588,3556,3501,3462,3384,3308
1202,Arronches,pop-residente,3262,3243,3220,3208,3178,3136,3124,3100,3041,2988
1203,Avis,pop-residente,4872,4811,4752,4670,4583,4571,4529,4505,4440,4387
1204,Campo Maior,pop-residente,8480,8453,8474,8493,8469,8429,8389,8365,8280,8214
1205,Castelo de Vide,pop-residente,3616,3586,3523,3476,3423,3371,3297,3248,3184,3116
1206,Crato,pop-residente,3958,3906,3861,3792,3740,3660,3593,3522,3451,3378
1207,Elvas,pop-residente,23293,23225,23168,23134,23110,22890,22566,22245,21902,21571
1208,Fronteira,pop-residente,3556,3543,3510,3475,3424,3364,3295,3222,3154,3088
1209,Gavião,pop-residente,4455,4375,4287,4214,4156,4069,3977,3873,3742,3645
1210,Marvão,pop-residente,3750,3709,3658,3598,3529,3482,3428,3376,3305,3230
1211,Monforte,pop-residente,3399,3370,3356,3349,3337,3304,3270,3228,3164,3103
1212,Nisa,pop-residente,7977,7868,7710,7611,7487,7337,7163,7019,6824,6649
1213,Ponte de Sor,pop-residente,17369,17240,17103,16931,16760,16570,16366,16184,15926,15709
1214,Portalegre,pop-residente,25534,25409,25267,25143,24976,24602,24230,23915,23525,23175
1215,Sousel,pop-residente,5408,5326,5268,5180,5098,5016,4935,4873,4762,4674
1301,Amarante,pop-residente,58248,57828,57351,56915,56314,56099,55677,55171,54775,54432
1302,Baião,pop-residente,21475,21300,21087,20852,20561,20394,20119,19899,19682,19488
1303,Felgueiras,pop-residente,58521,58551,58443,58347,58114,58126,57904,57673,57411,57246
1304,Gondomar,pop-residente,167834,168292,168337,168388,168168,168363,168016,167525,166841,166338
1305,Lousada,pop-residente,46730,47000,47167,47347,47414,47547,47450,47300,47176,47075
1306,Maia,pop-residente,129975,131546,132927,134188,135330,135937,136017,135924,135817,135678
1307,Marco de Canaveses,pop-residente,53539,53679,53638,53610,53507,53521,53273,52966,52708,52480
1308,Matosinhos,pop-residente,173181,174041,174655,175223,175600,175869,175321,174690,174045,173451
1309,Paços de Ferreira,pop-residente,55475,55784,56021,56196,56350,56769,56929,57001,56984,57024
1310,Paredes,pop-residente,86299,86587,86728,86836,86849,87159,87020,86876,86668,86554
1311,Penafiel,pop-residente,72791,72819,72684,72519,72330,72227,71848,71434,71023,70759
1312,Porto,pop-residente,249639,247006,244049,241254,238046,233061,227535,222252,218231,214579
1313,Póvoa de Varzim,pop-residente,63970,63939,63763,63674,63483,63504,63282,62999,62707,62522
1314,Santo Tirso,pop-residente,72682,72567,72301,72013,71612,71451,70996,70477,70001,69557
1315,Valongo,pop-residente,91296,92090,92744,93362,93901,94577,94884,95123,95087,95188
1316,Vila do Conde,pop-residente,77939,78473,78862,79239,79582,79864,79808,79740,79518,79399
1317,Vila Nova de Gaia,pop-residente,299060,300436,301238,302084,302541,303430,303149,302828,301819,301172
1318,Trofa,pop-residente,38752,38860,38925,38997,39033,39010,38843,38642,38406,38264
1401,Abrantes,pop-residente,40665,40403,40107,39810,39464,38831,38201,37588,37116,36701
1402,Alcanena,pop-residente,14170,14135,14069,13975,13889,13729,13567,13413,13279,13199
1403,Almeirim,pop-residente,22862,22998,23173,23289,23380,23483,23479,23458,23246,23092
1404,Alpiarça,pop-residente,7873,7857,7823,7779,7715,7652,7593,7529,7390,7289
1405,Benavente,pop-residente,26779,27376,27933,28477,28999,29372,29683,29908,29882,29874
1406,Cartaxo,pop-residente,24179,24317,24388,24463,24506,24522,24504,24479,24254,24020
1407,Chamusca,pop-residente,10712,10580,10425,10290,10140,10071,9967,9881,9751,9639
1408,Constância,pop-residente,3979,4000,4013,4025,4052,4052,4053,4028,4005,3984
1409,Coruche,pop-residente,20660,20498,20328,20168,20001,19762,19503,19211,18863,18587
1410,Entroncamento,pop-residente,19464,19688,19887,20077,20217,20322,20421,20445,20462,20568
